[2018-05-07 20:54:03] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 20:54:03  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:07:22] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:07:21  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:09:24] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:09:24  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:13:01] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:13:01  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:13:41] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:13:41  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:14:10] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:14:10  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:17:36] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:17:36  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:27:03] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:27:03  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:29:35] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:29:35  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:32:05] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:32:05  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:34:49] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,桩上报时间 date: 2018-05-07 21:34:49  签到,桩上报参数 code:123456, num:10, device_identification:112233445566, heabeatCycle:0, version:1   签到,桩上报帧 frame: aa1e0001d586ed5a40e2010001110abe78a2211a0000000000000000d7a5 [] []
[2018-05-07 21:34:49] .DEBUG: Wormhole\Protocols\Library\Common/record_log@20 签到,响应充电桩 结果 1, 帧frame: aa1700010200000040e20100011101493421070518d50c时间:2018-05-07 21:34:49 [] []
